query_id,query,method,answer,prompt_tokens,response_tokens,total_tokens,response_time_ms,retrieved_snippets_count,retrieved_snippets_preview,generation_record,timestamp,relevance_score,correctness_score,helpfulness_score,retrieval_quality_score,overall_score
4,How do I apply for a course withdrawal?,lexical_rag,"I am not sure if this knowledge base covers how to apply for a course withdrawal. It provides details about the course content, aims, and intended learning outcomes of COMP7125 Prompt Engineering for Generative AI, but not the process for withdrawing from a course.",1143,44,1187,30079.8659324646,3,"[{'citation_key': 'S14', 'text': ""# Graduate Attributes\nOn graduation, HKBU Taught Postgraduate graduates should achieve the following six core attributes:\n\nKNOWLEDGE\nMaster in-depth, advanced and","{'session_id': 'eval_4_lexical_rag', 'query': 'How do I apply for a course withdrawal?', 'used_history_count': 0, 'snippets': [{'citation_key': 'S14', 'file_name': 'Graduate_Attributes.txt', 'chunk_id': 14, 'score': 9.4371}, {'citation_key': 'S12', 'file_name': 'COMP7125_Course_Outline.txt', 'chunk_id': 12, 'score': 5.9549}, {'citation_key': 'S10', 'file_name': 'COMP7125_Course_Outline.txt', 'chunk_id': 10, 'score': 5.8321}], 'prompt_chars': 8307, 'answer_text': 'I am not sure if this knowledge base covers how to apply for a course withdrawal. It provides details about the course content, aims, and intended learning outcomes of COMP7125 Prompt Engineering for Generative AI, but not the process for withdrawing from a course.'}",2026-04-15T13:33:08.704681,2.0,3.0,2.0,3.0,2.3333333333333335
4,How do I apply for a course withdrawal?,neural_rag,"I am not sure and that the knowledge base may not cover it. The provided context contains information about certifications, scholarships, student organizations, the Career Centre, Campus Life & Amenities Unit, and the Counselling and Development Centre, but it does not detail the process for applying for a course withdrawal.",794,50,844,25911.536931991577,3,"[{'citation_key': 'N0', 'text': '# Certification of Academic Assessment\n## Testimonials\nIssued by: Academic Registry (undergraduate & taught postgraduate programmes) / Graduate School (research post","{'session_id': 'eval_4_neural_rag', 'query': 'How do I apply for a course withdrawal?', 'used_history_count': 0, 'snippets': [{'citation_key': 'N0', 'file_name': 'Certification_of_Academic_Assessment.txt', 'chunk_id': 0, 'score': None}, {'citation_key': 'N1', 'file_name': 'Scholarship.txt', 'chunk_id': 1, 'score': None}, {'citation_key': 'N2', 'file_name': 'Student_Life.txt', 'chunk_id': 1, 'score': None}], 'prompt_chars': 6024, 'answer_text': 'I am not sure and that the knowledge base may not cover it. The provided context contains information about certifications, scholarships, student organizations, the Career Centre, Campus Life & Amenities Unit, and the Counselling and Development Centre, but it does not detail the process for applying for a course withdrawal.'}",2026-04-15T13:33:34.654724,3.0,3.0,2.0,3.0,2.6666666666666665
5,How many credits are required for graduation?,no_rag,I am not sure and that the knowledge base may not cover it.,135,13,148,6855.110168457031,0,[],"{'session_id': 'eval_5_no_rag', 'query': 'How many credits are required for graduation?', 'used_history_count': 0, 'snippets': [], 'prompt_chars': 782, 'answer_text': 'I am not sure and that the knowledge base may not cover it.'}",2026-04-15T13:33:41.509834,2.0,2.0,1.0,3.0,1.6666666666666667
5,How many credits are required for graduation?,lexical_rag,"To determine the total credits required for graduation, we need to consider both the required and elective courses.

The programme requires 14 units of Required Courses 【COMP7015 Artificial Intelligence 3 units, COMP7035 Python for Data Analytics and Artificial Intelligence 3 units, COMP7180 Quantitative Methods for Data Analytics and Artificial Intelligence 3 units, COMP7530 IT Forum 1 unit, COMP7950 IT Project Skills 1 unit, COMP7990 Principles and Practices of Data Analytics 3 units】 and 15 units of Elective Courses 【COMP7170 Data Security and Privacy 3 units, COMP7260 Special Topics in Data Analytics 3 units, COMP7640 Database Systems and Administration 3 units, COMP7650 Data Mining and Knowledge Discovery 3 units, COMP7810 Business Intelligence 3 units, COMP7930 Big Data Analytics 3 units, COMP7045 Natural Language Processing and Large Language Models 3 units, COMP7055 Computer Vision 3 units, COMP7125 Prompt Engineering for Generative AI 3 units, COMP7220 Special Topics in Artificial Intelligence 3 units, COMP7240 Recommender Systems 3 units, COMP7250 Machine Learning 3 units, COMP7630 Web Intelligence and Its Applications 3 units】.

Therefore, the total number of credits required is 14 + 15 = 29 units 【Total: 29 units】.",937,185,1122,51694.46897506714,3,"[{'citation_key': 'S14', 'text': ""# Graduate Attributes\nOn graduation, HKBU Taught Postgraduate graduates should achieve the following six core attributes:\n\nKNOWLEDGE\nMaster in-depth, advanced and","{'session_id': 'eval_5_lexical_rag', 'query': 'How many credits are required for graduation?', 'used_history_count': 0, 'snippets': [{'citation_key': 'S14', 'file_name': 'Graduate_Attributes.txt', 'chunk_id': 14, 'score': 6.2988}, {'citation_key': 'S6', 'file_name': 'Academic_Programmes_Information_for_ITM.txt', 'chunk_id': 6, 'score': 4.894}, {'citation_key': 'S15', 'file_name': 'Graduate_Attributes.txt', 'chunk_id': 15, 'score': 4.6751}], 'prompt_chars': 6508, 'answer_text': 'To determine the total credits required for graduation, we need to consider both the required and elective courses.\n\nThe programme requires 14 units of Required Courses 【COMP7015 Artificial Intelligence 3 units, COMP7035 Python for Data Analytics and Artificial Intelligence 3 units, COMP7180 Quantitative Methods for Data Analytics and Artificial Intelligence 3 units, COMP7530 IT Forum 1 unit, COMP7950 IT Project Skills 1 unit, COMP7990 Principles and Practices of Data Analytics 3 units】 and 15 units of Elective Courses 【COMP7170 Data Security and Privacy 3 units, COMP7260 Special Topics in Data Analytics 3 units, COMP7640 Database Systems and Administration 3 units, COMP7650 Data Mining and Knowledge Discovery 3 units, COMP7810 Business Intelligence 3 units, COMP7930 Big Data Analytics 3 units, COMP7045 Natural Language Processing and Large Language Models 3 units, COMP7055 Computer Vision 3 units, COMP7125 Prompt Engineering for Generative AI 3 units, COMP7220 Special Topics in Artificial Intelligence 3 units, COMP7240 Recommender Systems 3 units, COMP7250 Machine Learning 3 units, COMP7630 Web Intelligence and Its Applications 3 units】.\n\nTherefore, the total number of credits required is 14 + 15 = 29 units 【Total: 29 units】.'}",2026-04-15T13:34:33.211183,5.0,5.0,5.0,3.0,5.0
5,How many credits are required for graduation?,neural_rag,"I am not sure. The knowledge base may not cover this. It provides information about certifications, transcripts, diplomas, and various scholarship details, but not the requirements for graduation.",705,28,733,23475.409030914307,3,"[{'citation_key': 'N0', 'text': '# Certification of Academic Assessment\n## Testimonials\nIssued by: Academic Registry (undergraduate & taught postgraduate programmes) / Graduate School (research post","{'session_id': 'eval_5_neural_rag', 'query': 'How many credits are required for graduation?', 'used_history_count': 0, 'snippets': [{'citation_key': 'N0', 'file_name': 'Certification_of_Academic_Assessment.txt', 'chunk_id': 0, 'score': None}, {'citation_key': 'N1', 'file_name': 'Scholarship.txt', 'chunk_id': 2, 'score': None}, {'citation_key': 'N2', 'file_name': 'Scholarship.txt', 'chunk_id': 0, 'score': None}], 'prompt_chars': 5270, 'answer_text': 'I am not sure. The knowledge base may not cover this. It provides information about certifications, transcripts, diplomas, and various scholarship details, but not the requirements for graduation.'}",2026-04-15T13:34:56.719541,2.0,2.0,2.0,3.0,2.0
6,What electives are recommended for AI concentration?,no_rag,I am not sure. The knowledge base may not cover this question.,135,12,147,7041.87798500061,0,[],"{'session_id': 'eval_6_no_rag', 'query': 'What electives are recommended for AI concentration?', 'used_history_count': 0, 'snippets': [], 'prompt_chars': 789, 'answer_text': 'I am not sure. The knowledge base may not cover this question.'}",2026-04-15T13:35:03.761419,2.0,2.0,1.0,3.0,1.6666666666666667
6,What electives are recommended for AI concentration?,lexical_rag,"For the AI concentration, here are the electives recommended from the provided context:

*   COMP7045 Natural Language Processing and Large Language Models - 3 units
*   COMP7055 Computer Vision - 3 units
*   COMP7125 Prompt Engineering for Generative AI - 3 units
*   COMP7220 Special Topics in Artificial Intelligence - 3 units
*   COMP7240 Recommender Systems - 3 units
*   COMP7250 Machine Learning - 3 units
*   COMP7630 Web Intelligence and Its Applications - 3 units

【S4】",1039,77,1116,37265.48075675964,3,"[{'citation_key': 'S5', 'text': '7220 Special Topics in Artificial Intelligence - 3 units\nCOMP7240 Recommender Systems - 3 units\nCOMP7250 Machine Learning - 3 units\nCOMP7630 Web Intelligence and It","{'session_id': 'eval_6_lexical_rag', 'query': 'What electives are recommended for AI concentration?', 'used_history_count': 0, 'snippets': [{'citation_key': 'S5', 'file_name': 'Academic_Programmes_Information_for_DAAI.txt', 'chunk_id': 5, 'score': 5.5623}, {'citation_key': 'S4', 'file_name': 'Academic_Programmes_Information_for_DAAI.txt', 'chunk_id': 4, 'score': 5.102}, {'citation_key': 'S14', 'file_name': 'Graduate_Attributes.txt', 'chunk_id': 14, 'score': 4.8423}], 'prompt_chars': 6957, 'answer_text': 'For the AI concentration, here are the electives recommended from the provided context:\n\n*   COMP7045 Natural Language Processing and Large Language Models - 3 units\n*   COMP7055 Computer Vision - 3 units\n*   COMP7125 Prompt Engineering for Generative AI - 3 units\n*   COMP7220 Special Topics in Artificial Intelligence - 3 units\n*   COMP7240 Recommender Systems - 3 units\n*   COMP7250 Machine Learning - 3 units\n*   COMP7630 Web Intelligence and Its Applications - 3 units\n\n【S4】'}",2026-04-15T13:35:41.033960,5.0,5.0,5.0,3.0,5.0
6,What electives are recommended for AI concentration?,neural_rag,"The following electives are recommended for the AI concentration:

*   COMP7045 Natural Language Processing and Large Language Models - 3 units 【N2】
*   COMP7055 Computer Vision - 3 units 【N2】
*   COMP7125 Prompt Engineering for Generative AI - 3 units 【N2】
*   COMP7220 Special Topics in Artificial Intelligence - 3 units 【N2】
*   COMP7240 Recommender Systems - 3 units 【N2】
*   COMP7250 Machine Learning - 3 units 【N2】
*   COMP7630 Web Intelligence and Its Applications - 3 units 【N2】
*   COMP7650 Data Mining and Knowledge Discovery - 3 units 【N2】

【N2】",879,91,970,40290.63892364502,3,"[{'citation_key': 'N0', 'text': '7220 Special Topics in Artificial Intelligence - 3 units\nCOMP7240 Recommender Systems - 3 units\nCOMP7250 Machine Learning - 3 units\nCOMP7630 Web Intelligence and It","{'session_id': 'eval_6_neural_rag', 'query': 'What electives are recommended for AI concentration?', 'used_history_count': 0, 'snippets': [{'citation_key': 'N0', 'file_name': 'Academic_Programmes_Information_for_DAAI.txt', 'chunk_id': 1, 'score': None}, {'citation_key': 'N1', 'file_name': 'Academic_Programmes_Information_for_DAAI.txt', 'chunk_id': 0, 'score': None}, {'citation_key': 'N2', 'file_name': 'Academic_Programmes_Information_for_ITM.txt', 'chunk_id': 1, 'score': None}], 'prompt_chars': 5768, 'answer_text': 'The following electives are recommended for the AI concentration:\n\n*   COMP7045 Natural Language Processing and Large Language Models - 3 units 【N2】\n*   COMP7055 Computer Vision - 3 units 【N2】\n*   COMP7125 Prompt Engineering for Generative AI - 3 units 【N2】\n*   COMP7220 Special Topics in Artificial Intelligence - 3 units 【N2】\n*   COMP7240 Recommender Systems - 3 units 【N2】\n*   COMP7250 Machine Learning - 3 units 【N2】\n*   COMP7630 Web Intelligence and Its Applications - 3 units 【N2】\n*   COMP7650 Data Mining and Knowledge Discovery - 3 units 【N2】\n\n【N2】'}",2026-04-15T13:36:21.406305,5.0,5.0,5.0,3.0,5.0
7,Where is the main library?,no_rag,I am not sure and that the knowledge base may not cover it.,133,13,146,6799.473524093628,0,[],"{'session_id': 'eval_7_no_rag', 'query': 'Where is the main library?', 'used_history_count': 0, 'snippets': [], 'prompt_chars': 763, 'answer_text': 'I am not sure and that the knowledge base may not cover it.'}",2026-04-15T13:36:28.206299,2.0,3.0,2.0,3.0,2.3333333333333335
7,Where is the main library?,lexical_rag,I am not sure if this knowledge base covers this question. 【S31】 states that students are also provided with an overview of the key services and facilities of HKBU Library to ensure that they are aware of these vital resources.,1129,40,1169,27149.10387992859,3,"[{'citation_key': 'S31', 'text': 'help them develop their information literacy abilities. Students are also provided with an overview of the key services and facilities of HKBU Library to ensure that ","{'session_id': 'eval_7_lexical_rag', 'query': 'Where is the main library?', 'used_history_count': 0, 'snippets': [{'citation_key': 'S31', 'file_name': 'University_Life.txt', 'chunk_id': 31, 'score': 6.2727}, {'citation_key': 'S30', 'file_name': 'University_Life.txt', 'chunk_id': 30, 'score': 4.4135}, {'citation_key': 'S14', 'file_name': 'Graduate_Attributes.txt', 'chunk_id': 14, 'score': 4.3465}], 'prompt_chars': 7532, 'answer_text': 'I am not sure if this knowledge base covers this question. 【S31】 states that students are also provided with an overview of the key services and facilities of HKBU Library to ensure that they are aware of these vital resources.'}",2026-04-15T13:36:55.361793,2.0,2.0,2.0,3.0,2.0
7,Where is the main library?,neural_rag,"I am not sure if the knowledge base covers this. 【N1】 states that students are provided with an overview of the key services and facilities of HKBU Library to ensure that they are aware of these vital resources. However, it does not specify the location of the main library.",687,49,736,22308.332443237305,3,"[{'citation_key': 'N0', 'text': '# Campus Locations & Transportation\n## Kowloon Tong Campus\nComprises 4 sub-campuses: Baptist University Road Campus (BURC), Ho Sin Hang Campus (HSHC), Jockey Club Ca","{'session_id': 'eval_7_neural_rag', 'query': 'Where is the main library?', 'used_history_count': 0, 'snippets': [{'citation_key': 'N0', 'file_name': 'Campus_Map.txt', 'chunk_id': 0, 'score': None}, {'citation_key': 'N1', 'file_name': 'University_Life.txt', 'chunk_id': 1, 'score': None}, {'citation_key': 'N2', 'file_name': 'Student_Life.txt', 'chunk_id': 3, 'score': None}], 'prompt_chars': 4387, 'answer_text': 'I am not sure if the knowledge base covers this. 【N1】 states that students are provided with an overview of the key services and facilities of HKBU Library to ensure that they are aware of these vital resources. However, it does not specify the location of the main library.'}",2026-04-15T13:37:17.745974,3.0,3.0,2.0,3.0,2.6666666666666665
8,What student services are available?,no_rag,"I am not sure and that the knowledge base may not cover it.
",133,13,146,6811.319828033447,0,[],"{'session_id': 'eval_8_no_rag', 'query': 'What student services are available?', 'used_history_count': 0, 'snippets': [], 'prompt_chars': 773, 'answer_text': 'I am not sure and that the knowledge base may not cover it.\n'}",2026-04-15T13:37:24.557800,2.0,2.0,1.0,3.0,1.6666666666666667
8,What student services are available?,lexical_rag,"Here are the student services available according to the provided context:

*   **Career Centre (CC):** Offers career planning, skill improvement, and employment matching services, including career talks, CV workshops, and a career fair. They also provide internship opportunities (local/overseas, MAP, GAO, GBA internships), AI-enabled job search platform (BUhub), and entrepreneurial support. Postgraduate exclusive services are also available. 【S22】 and 【S0】
*   **Campus Life & Amenities Unit (CLA):** Supports student organisations with funding and administrative guidance, manages campus facilities (Learning Commons), and facilitates student governance participation. 【S22】
*   **Counselling and Development Centre:** Provides counselling and support for students. 【S14】
*   **Academic Advising:** Offers guidance on major selection, study skills, and phased study plans. 【S0】

Do you want to know more about a specific service?",1094,123,1217,41402.65965461731,3,"[{'citation_key': 'S22', 'text': ""### Student Organisations\nVoluntary membership open to all students (some with membership fees). Registered/recognised bodies include: Students' Union (undergraduate","{'session_id': 'eval_8_lexical_rag', 'query': 'What student services are available?', 'used_history_count': 0, 'snippets': [{'citation_key': 'S22', 'file_name': 'Student_Life.txt', 'chunk_id': 22, 'score': 6.0592}, {'citation_key': 'S14', 'file_name': 'Graduate_Attributes.txt', 'chunk_id': 14, 'score': 4.4416}, {'citation_key': 'S0', 'file_name': 'Academic_Advising.txt', 'chunk_id': 0, 'score': 3.7013}], 'prompt_chars': 8297, 'answer_text': 'Here are the student services available according to the provided context:\n\n*   **Career Centre (CC):** Offers career planning, skill improvement, and employment matching services, including career talks, CV workshops, and a career fair. They also provide internship opportunities (local/overseas, MAP, GAO, GBA internships), AI-enabled job search platform (BUhub), and entrepreneurial support. Postgraduate exclusive services are also available. 【S22】 and 【S0】\n*   **Campus Life & Amenities Unit (CLA):** Supports student organisations with funding and administrative guidance, manages campus facilities (Learning Commons), and facilitates student governance participation. 【S22】\n*   **Counselling and Development Centre:** Provides counselling and support for students. 【S14】\n*   **Academic Advising:** Offers guidance on major selection, study skills, and phased study plans. 【S0】\n\nDo you want to know more about a specific service?'}",2026-04-15T13:38:05.966496,5.0,5.0,5.0,3.0,5.0
8,What student services are available?,neural_rag,"The Career Centre (CC) offers a range of services, including Career Planning and Advising, Career Education Programmes, Career & Recruitment Events, Networking Events, Exploration Trips, Skills Empowerment Scheme, and Entrepreneurial Support 【N0】. The Postgraduate Association also offers postgraduate exclusive services 【N0】. Additionally, the Campus Life & Amenities Unit (CLA) supports student bodies and manages campus facilities 【N0】. I am not sure about specific details regarding counselling services.",839,67,906,35096.243143081665,3,"[{'citation_key': 'N0', 'text': ""### Student Organisations\nVoluntary membership open to all students (some with membership fees). Registered/recognised bodies include: Students' Union (undergraduates","{'session_id': 'eval_8_neural_rag', 'query': 'What student services are available?', 'used_history_count': 0, 'snippets': [{'citation_key': 'N0', 'file_name': 'Student_Life.txt', 'chunk_id': 1, 'score': None}, {'citation_key': 'N1', 'file_name': 'Tuition_Fees.txt', 'chunk_id': 4, 'score': None}, {'citation_key': 'N2', 'file_name': 'Tuition_Fees.txt', 'chunk_id': 2, 'score': None}], 'prompt_chars': 6506, 'answer_text': 'The Career Centre (CC) offers a range of services, including Career Planning and Advising, Career Education Programmes, Career & Recruitment Events, Networking Events, Exploration Trips, Skills Empowerment Scheme, and Entrepreneurial Support 【N0】. The Postgraduate Association also offers postgraduate exclusive services 【N0】. Additionally, the Campus Life & Amenities Unit (CLA) supports student bodies and manages campus facilities 【N0】. I am not sure about specific details regarding counselling services.'}",2026-04-15T13:38:41.138727,4.0,4.0,3.0,3.0,3.6666666666666665
9,How can I improve my GPA?,no_rag,I am not sure and that the knowledge base may not cover it.,134,13,147,6784.89351272583,0,[],"{'session_id': 'eval_9_no_rag', 'query': 'How can I improve my GPA?', 'used_history_count': 0, 'snippets': [], 'prompt_chars': 762, 'answer_text': 'I am not sure and that the knowledge base may not cover it.'}",2026-04-15T13:38:47.923621,1.0,1.0,1.0,3.0,1.0
